ID,Name,Car,Bus,Train,Bicycle,Walking,Electricity,Natural Gas,Fuel Oil,Propane,Coal
1234,Luettgen and Sons,5.1,7.2,4.8,6.3,8.1,9.5,7.6,6.9,5.7,4.6
5678,Gislason Inc,6.4,4.9,5.7,9.0,7.8,8.3,6.2,5.5,8.4,7.1
9101,Ondricka,8.3,9.2,4.1,5.6,7.3,9.7,6.4,8.0,5.9,7.4
1121,Bernhard LLC,5.6,8.5,7.2,6.1,4.3,9.8,5.4,7.9,6.7,8.2
3141,Harris,7.1,6.7,5.8,9.6,8.4,4.5,7.0,8.9,6.5,5.2
5161,Cummerata - Gibson,6.8,7.5,6.3,4.7,5.5,9.4,6.8,8.1,7.2,9.0
7181,Schaden - Harris,4.7,9.0,5.4,8.2,6.9,7.1,5.8,6.7,9.3,7.6
9202,Yost - Kohler,8.5,6.6,8.7,7.0,5.2,8.9,7.3,6.5,4.9,8.6
1222,Graham - Bruen,9.2,5.3,6.8,4.5,7.6,6.2,8.5,7.4,9.1,5.0
3242,Friesen,5.3,8.4,7.0,6.9,4.8,7.7,5.6,9.2,7.3,8.0
5262,Beatty Inc,7.4,5.9,4.6,9.4,8.0,6.3,9.1,5.8,7.5,6.6
7282,Kessler,6.1,7.8,9.7,5.0,6.7,8.4,6.1,7.2,8.9,4.4
9303,Lind Group,5.8,6.5,8.1,9.5,7.2,5.1,7.4,8.3,6.6,9.3
1323,Bechtelar,9.6,5.7,6.4,8.3,9.2,6.5,4.8,7.1,9.0,5.9
3343,Will Inc,8.7,6.2,7.3,4.6,7.8,9.3,5.7,8.6,6.1,7.2
5363,Dickens Group,4.5,9.8,5.6,7.9,6.3,4.2,8.7,5.0,9.5,6.4
7383,Schmeler - Wyman,7.9,4.4,6.2,8.5,7.1,8.6,5.3,9.4,7.8,5.7
9404,Rodriguez,6.5,7.6,4.3,9.1,8.7,6.4,9.9,5.5,4.2,8.3
1424,Bayer Group,5.2,8.1,5.9,6.7,9.4,6.8,7.3,9.2,8.0,5.5
3444,Hilpert - Kunze,8.1,5.2,6.1,8.8,5.3,7.9,6.5,8.7,6.2,7.4
5464,Pagac LLC,7.6,4.3,7.2,9.7,6.6,9.2,7.8,5.9,9.1,8.6
7484,White - McKenzie,9.8,6.7,5.8,7.5,8.9,7.7,9.3,6.5,7.2,8.6
9505,Metz Inc,5.0,7.8,6.1,5.3,7.9,6.5,4.8,8.6,7.2,9.7
1525,Schaefer LLC,6.2,9.1,5.7,6.4,8.7,7.1,8.6,7.9,9.6,5.1
3545,Moen,7.3,5.9,7.2,6.4,4.5,5.8,7.9,6.6,8.7,7.4
7585,Hand,4.8,7.7,9.0,5.5,8.9,4.6,8.5,9.2,7.8,5.1
9606,Flatley Group,6.9,4.6,8.3,7.1,5.2,8.7,6.9,7.1,8.8,5.4
1626,Cremin - Schamberger,7.7,6.5,7.6,5.3,9.1,5.6,7.5,9.2,6.3,8.7
3646,Collier,4.6,9.3,5.7,6.6,8.2,7.2,6.9,5.8,7.7,7.4
7484,Tito,2,5,3,2,4,7,4,9,2,8
2345,Anderson and Sons,6.1,8.2,5.3,7.2,9.3,8.7,6.5,7.9,5.6,6.1
6789,Roberts Inc,7.5,5.6,6.4,8.9,6.7,7.8,5.2,8.3,6.7,7.5
1011,Johnson Transport,8.2,9.1,5.2,6.3,7.4,9.2,7.1,6.9,5.4,8.3
1213,Williams Logistics,6.5,7.3,8.1,5.6,8.9,7.3,8.6,5.7,9.2,6.5
1415,Brown Shipping,7.3,5.9,6.7,9.1,5.8,6.9,6.3,9.1,7.4,5.9
1819,Miller Transport,6.9,6.2,5.8,7.3,9.4,8.1,5.6,8.4,6.1,6.9
2021,Davis and Co,9.0,7.2,6.5,5.9,7.6,6.4,9.3,7.2,5.8,8.1
2223,Wilson Logistics,7.2,8.3,5.6,6.7,8.5,5.9,8.1,5.9,7.3,6.7
2425,Taylor Shipping,8.3,6.5,7.1,8.9,6.8,7.2,6.7,8.9,6.5,7.3
2627,Anderson Transport,5.6,9.2,6.4,7.2,8.1,6.5,9.0,6.4,8.2,5.6
2829,Thomas Freight,7.8,5.8,8.3,6.3,7.5,8.7,5.4,8.2,6.9,7.8
3031,Hall Logistics,6.3,7.9,5.7,9.0,6.9,7.4,7.9,5.6,9.1,6.3
3233,Clark Shipping,8.1,6.7,7.2,5.5,8.3,6.1,7.6,8.1,5.7,8.5
3435,Young Enterprises,5.7,8.4,6.9,7.8,5.6,9.0,6.4,7.8,8.3,5.7
3637,Moore Logistics,9.1,5.7,7.8,6.5,8.4,5.6,8.9,6.5,7.6,8.1
3839,Allen Freight,6.4,9.3,5.5,8.7,6.3,8.5,5.9,7.1,9.0,5.5
4041,Harris Shipping,7.6,6.3,9.0,5.6,7.9,6.7,9.2,5.8,6.9,7.6
4243,King Transport,5.9,8.2,6.1,7.9,5.4,8.2,5.5,9.0,7.3,5.9
4445,Scott Logistics,8.4,5.5,7.3,8.2,7.1,6.9,8.4,6.3,5.9,8.4
4647,Hill Enterprises,7.1,7.6,6.2,9.1,6.2,7.4,7.1,8.3,6.7,6.2
4849,Allen Logistics,5.5,9.0,5.9,7.8,5.3,8.1,5.6,9.5,8.2,5.5
5051,Carter Freight,8.5,6.1,7.5,6.7,9.0,7.3,6.3,7.8,6.1,8.5
5253,Baker Transport,6.1,7.8,5.6,8.3,6.5,7.1,8.5,5.9,7.3,6.1
5455,Ward Logistics,7.9,6.5,7.2,5.8,8.1,5.6,7.9,6.7,8.1,7.9
5657,Phillips Shipping,5.6,8.3,6.7,7.4,5.9,8.3,5.7,8.6,7.2,5.6
5859,Parker Enterprises,8.2,5.7,7.8,6.1,7.6,6.5,8.2,7.1,5.6,8.2
6263,Ross Logistics,6.6,7.1,6.8,7.9,6.2,7.6,6.6,8.1,5.9,6.6
6465,Griffin Shipping,8.0,6.9,5.7,8.5,7.2,8.0,6.9,7.5,7.1,8.0
9000,AAAA,0.324,3.4344,17594.879999999997,1716.0,1290.0,979.1999999999999,35244.0,1872.0,0.0,0.0
8000,bbbb,2.532,39.6228,6431.04,8283.0,3930.0,150998.4,3884430.0,32364.0,0.0,0.0
7000,CCCC,3.2640000000000002,348.1464,1308.48,114279.0,1410.0,6739.2,30162.0,21096.0,0.0,0.0
